Part ID,Part #,Description
DB-PHN1C,002-0186,Single Phono Jack on D Plate - Solder type - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-PHN2,001-0187,Dual Phono Jacks on D Plate - Solder type - Black
DB-PHN2C,002-0187,Dual Phono Jacks on D Plate - Solder type - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-PSP1,001-5660,Decora-Style Active Loudspeaker - Black - User Level Adjust
DB-PSP1A,001-5670,Decora-Style Active Loudspeaker - Format-A - Black - User Level Adjust
DB-PSP1AF,001-5671,Decora-Style Active Loudspeaker - Format-A - Black - Installer Level Adjust
DB-PSP1F,001-5661,Decora-Style Active Loudspeaker - Black - Installer Level Adjust
DB-RC2,001-5403,Remote Audio Mixing Control - Black
DB-RC2C,002-5403,Remote Audio Mixing Control - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RC2M,001-5413,Remote Audio Mixing Control with Muting - Black
DB-RC2MC,002-5413,Remote Audio Mixing Control with Muting - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RC2ST,001-5567,2 Channel Remote Control for STICK-ONs - Black
DB-RC2STC,002-5567,2 Channel Remote Control for STICK-ONs - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RC3,001-5423,Remote Audio Mixing Control - Black
DB-RC3C,002-5423,Remote Audio Mixing Control - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RC3M,001-5433,Remote Audio Mixing Control with Muting - Black
DB-RC3MC,002-5433,Remote Audio Mixing Control with Muting - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RC4M,001-5617,4 Channel Remote Control for RU-ASX4D and RU-ASX4DR - Black
DB-RC4MC,002-5617,4 Channel Remote Control for RU-ASX4D and RU-ASX4DR - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RC4RU,001-5582,4 Channel Remote Control for RACK-Ups - Black
DB-RC4RUC,002-5582,4 Channel Remote Control for RACK-Ups - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RC4ST,001-5572,4 Channel Remote Control for ST-SX4 - Black
